"Source","Base_Skill","Skill_Term","City","radius","indeed_url","jobs_count"
"Indeed","Data Scientist","Hadoop","New York,NY","50","http://www.indeed.com/jobs?q=Hadoop+Data Scientist&l=New York,NY&radius=50",429
"Indeed","Data Scientist","Hive","New York,NY","50","http://www.indeed.com/jobs?q=Hive+Data Scientist&l=New York,NY&radius=50",179
"Indeed","Data Scientist","Python","New York,NY","50","http://www.indeed.com/jobs?q=Python+Data Scientist&l=New York,NY&radius=50",1133
"Indeed","Data Scientist","R","New York,NY","50","http://www.indeed.com/jobs?q=R+Data Scientist&l=New York,NY&radius=50",678
"Indeed","Data Scientist","Machine Learning","New York,NY","50","http://www.indeed.com/jobs?q=Machine Learning+Data Scientist&l=New York,NY&radius=50",904
"Indeed","Data Scientist","Big Data","New York,NY","50","http://www.indeed.com/jobs?q=Big Data+Data Scientist&l=New York,NY&radius=50",974
"Indeed","Data Scientist","SAS","New York,NY","50","http://www.indeed.com/jobs?q=SAS+Data Scientist&l=New York,NY&radius=50",892
"Indeed","Data Scientist","MapReduce","New York,NY","50","http://www.indeed.com/jobs?q=MapReduce+Data Scientist&l=New York,NY&radius=50",48
"Indeed","Data Scientist","MongoDB","New York,NY","50","http://www.indeed.com/jobs?q=MongoDB+Data Scientist&l=New York,NY&radius=50",47
"Indeed","Data Scientist","NLP","New York,NY","50","http://www.indeed.com/jobs?q=NLP+Data Scientist&l=New York,NY&radius=50",121
"Indeed","Data Scientist","Predictive Analysis","New York,NY","50","http://www.indeed.com/jobs?q=Predictive Analysis+Data Scientist&l=New York,NY&radius=50",246
"Indeed","Data Scientist","Data Mining","New York,NY","50","http://www.indeed.com/jobs?q=Data Mining+Data Scientist&l=New York,NY&radius=50",295
"Indeed","Data Scientist","Communication","New York,NY","50","http://www.indeed.com/jobs?q=Communication+Data Scientist&l=New York,NY&radius=50",1897
"Indeed","Data Scientist","Neural network","New York,NY","50","http://www.indeed.com/jobs?q=Neural network+Data Scientist&l=New York,NY&radius=50",99
"Indeed","Data Scientist","Tensorflow","New York,NY","50","http://www.indeed.com/jobs?q=Tensorflow+Data Scientist&l=New York,NY&radius=50",120
"Indeed","Data Scientist","Hadoop","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Hadoop+Data Scientist&l=Los Angeles,CA&radius=50",104
"Indeed","Data Scientist","Hive","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Hive+Data Scientist&l=Los Angeles,CA&radius=50",46
"Indeed","Data Scientist","Python","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Python+Data Scientist&l=Los Angeles,CA&radius=50",383
"Indeed","Data Scientist","R","Los Angeles,CA","50","http://www.indeed.com/jobs?q=R+Data Scientist&l=Los Angeles,CA&radius=50",175
"Indeed","Data Scientist","Machine Learning","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Machine Learning+Data Scientist&l=Los Angeles,CA&radius=50",278
"Indeed","Data Scientist","Big Data","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Big Data+Data Scientist&l=Los Angeles,CA&radius=50",293
"Indeed","Data Scientist","SAS","Los Angeles,CA","50","http://www.indeed.com/jobs?q=SAS+Data Scientist&l=Los Angeles,CA&radius=50",223
"Indeed","Data Scientist","MapReduce","Los Angeles,CA","50","http://www.indeed.com/jobs?q=MapReduce+Data Scientist&l=Los Angeles,CA&radius=50",15
"Indeed","Data Scientist","MongoDB","Los Angeles,CA","50","http://www.indeed.com/jobs?q=MongoDB+Data Scientist&l=Los Angeles,CA&radius=50",22
"Indeed","Data Scientist","NLP","Los Angeles,CA","50","http://www.indeed.com/jobs?q=NLP+Data Scientist&l=Los Angeles,CA&radius=50",37
"Indeed","Data Scientist","Predictive Analysis","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Predictive Analysis+Data Scientist&l=Los Angeles,CA&radius=50",84
"Indeed","Data Scientist","Data Mining","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Data Mining+Data Scientist&l=Los Angeles,CA&radius=50",74
"Indeed","Data Scientist","Communication","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Communication+Data Scientist&l=Los Angeles,CA&radius=50",737
"Indeed","Data Scientist","Neural network","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Neural network+Data Scientist&l=Los Angeles,CA&radius=50",43
"Indeed","Data Scientist","Tensorflow","Los Angeles,CA","50","http://www.indeed.com/jobs?q=Tensorflow+Data Scientist&l=Los Angeles,CA&radius=50",49
"Indeed","Data Scientist","Hadoop","Chicago,IL","50","http://www.indeed.com/jobs?q=Hadoop+Data Scientist&l=Chicago,IL&radius=50",121
"Indeed","Data Scientist","Hive","Chicago,IL","50","http://www.indeed.com/jobs?q=Hive+Data Scientist&l=Chicago,IL&radius=50",62
"Indeed","Data Scientist","Python","Chicago,IL","50","http://www.indeed.com/jobs?q=Python+Data Scientist&l=Chicago,IL&radius=50",371
"Indeed","Data Scientist","R","Chicago,IL","50","http://www.indeed.com/jobs?q=R+Data Scientist&l=Chicago,IL&radius=50",229
"Indeed","Data Scientist","Machine Learning","Chicago,IL","50","http://www.indeed.com/jobs?q=Machine Learning+Data Scientist&l=Chicago,IL&radius=50",296
"Indeed","Data Scientist","Big Data","Chicago,IL","50","http://www.indeed.com/jobs?q=Big Data+Data Scientist&l=Chicago,IL&radius=50",341
"Indeed","Data Scientist","SAS","Chicago,IL","50","http://www.indeed.com/jobs?q=SAS+Data Scientist&l=Chicago,IL&radius=50",328
"Indeed","Data Scientist","MapReduce","Chicago,IL","50","http://www.indeed.com/jobs?q=MapReduce+Data Scientist&l=Chicago,IL&radius=50",13
"Indeed","Data Scientist","MongoDB","Chicago,IL","50","http://www.indeed.com/jobs?q=MongoDB+Data Scientist&l=Chicago,IL&radius=50",15
"Indeed","Data Scientist","NLP","Chicago,IL","50","http://www.indeed.com/jobs?q=NLP+Data Scientist&l=Chicago,IL&radius=50",33
"Indeed","Data Scientist","Predictive Analysis","Chicago,IL","50","http://www.indeed.com/jobs?q=Predictive Analysis+Data Scientist&l=Chicago,IL&radius=50",122
"Indeed","Data Scientist","Data Mining","Chicago,IL","50","http://www.indeed.com/jobs?q=Data Mining+Data Scientist&l=Chicago,IL&radius=50",87
"Indeed","Data Scientist","Communication","Chicago,IL","50","http://www.indeed.com/jobs?q=Communication+Data Scientist&l=Chicago,IL&radius=50",619
"Indeed","Data Scientist","Neural network","Chicago,IL","50","http://www.indeed.com/jobs?q=Neural network+Data Scientist&l=Chicago,IL&radius=50",34
"Indeed","Data Scientist","Tensorflow","Chicago,IL","50","http://www.indeed.com/jobs?q=Tensorflow+Data Scientist&l=Chicago,IL&radius=50",39
"Indeed","Data Scientist","Hadoop","Houston,TX","50","http://www.indeed.com/jobs?q=Hadoop+Data Scientist&l=Houston,TX&radius=50",32
"Indeed","Data Scientist","Hive","Houston,TX","50","http://www.indeed.com/jobs?q=Hive+Data Scientist&l=Houston,TX&radius=50",13
"Indeed","Data Scientist","Python","Houston,TX","50","http://www.indeed.com/jobs?q=Python+Data Scientist&l=Houston,TX&radius=50",84
"Indeed","Data Scientist","R","Houston,TX","50","http://www.indeed.com/jobs?q=R+Data Scientist&l=Houston,TX&radius=50",64
"Indeed","Data Scientist","Machine Learning","Houston,TX","50","http://www.indeed.com/jobs?q=Machine Learning+Data Scientist&l=Houston,TX&radius=50",72
"Indeed","Data Scientist","Big Data","Houston,TX","50","http://www.indeed.com/jobs?q=Big Data+Data Scientist&l=Houston,TX&radius=50",78
"Indeed","Data Scientist","SAS","Houston,TX","50","http://www.indeed.com/jobs?q=SAS+Data Scientist&l=Houston,TX&radius=50",68
"Indeed","Data Scientist","MapReduce","Houston,TX","50","http://www.indeed.com/jobs?q=MapReduce+Data Scientist&l=Houston,TX&radius=50",5
"Indeed","Data Scientist","MongoDB","Houston,TX","50","http://www.indeed.com/jobs?q=MongoDB+Data Scientist&l=Houston,TX&radius=50",3
"Indeed","Data Scientist","NLP","Houston,TX","50","http://www.indeed.com/jobs?q=NLP+Data Scientist&l=Houston,TX&radius=50",6
"Indeed","Data Scientist","Predictive Analysis","Houston,TX","50","http://www.indeed.com/jobs?q=Predictive Analysis+Data Scientist&l=Houston,TX&radius=50",31
"Indeed","Data Scientist","Data Mining","Houston,TX","50","http://www.indeed.com/jobs?q=Data Mining+Data Scientist&l=Houston,TX&radius=50",33
"Indeed","Data Scientist","Communication","Houston,TX","50","http://www.indeed.com/jobs?q=Communication+Data Scientist&l=Houston,TX&radius=50",204
"Indeed","Data Scientist","Neural network","Houston,TX","50","http://www.indeed.com/jobs?q=Neural network+Data Scientist&l=Houston,TX&radius=50",9
"Indeed","Data Scientist","Tensorflow","Houston,TX","50","http://www.indeed.com/jobs?q=Tensorflow+Data Scientist&l=Houston,TX&radius=50",12
"Indeed","Data Scientist","Hadoop","Phoenix,AZ","50","http://www.indeed.com/jobs?q=Hadoop+Data Scientist&l=Phoenix,AZ&radius=50",32
"Indeed","Data Scientist","Hive","Phoenix,AZ","50","http://www.indeed.com/jobs?q=Hive+Data Scientist&l=Phoenix,AZ&radius=50",13
